,Label,Message
0,ham,oh how abt 2 days before Christmas
1,info,"Welcome to OVATION HOLD R.No. 184, 114, 395, 378 Ch.In 2014-10-21 3:53 Ch.out 2014-11-01 12:00."
2,info,Thank you for using your ICICI bank CREDITcard ending 5253 for Rs. 2520.00 in ALIKE at Snapdeal on 2013-05-31 21:35
3,ham,schedule a meeting with the entire team in the office tomorrow
4,ham,Tommy is my brother
5,spam,OTP is 817453 for the txn of INR 8262.00 at SPICE JET on your SBI bank Debit card ending with 1385. Valid till 20:32:54. Do not share the OTP with anyone for security reasons
6,ham,the meeting is scheduled by john
7,spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Meru customer."
8,spam,Delivered: Your package withPawzone Red 1.25 inch Dog Collarwas successfully delivered. More info at http://amazon.com/cBfWh1e
9,info,The PNR for your Air India Flt 7I115 for PGH-BDQ on 2014-06-25 at 4:18 hrs  is PQPG4H. Tip: Check PNR status and book using MakeMyTrip App!. Thank you.
10,info,Bimal Auto Agency : Service of your car KA52C8378 is due in 72 days on 2015-01-28. Please contact us at 9411881245 to book a service.
11,info,Appointment with Dr Clayton in Pune on 2011-08-09 at 12:16 is confirmed. For queries call 1800 8126 6547. Your appt. might get delayed in case the doctor is attending an emergency.
12,info,Maha Veer Auto Agency : Service of your car KA88N4761 is due in 56 days on 2013-12-06. Please contact us at 9484286846 to book a service.
13,spam,"Dear AirAsia Customer, flight 5Q658 from RJA shall be boarding from gate 24C. Boarding gate closes26 mins prior to the departure time."
14,info,"Dear Guest, Thanks for choosing Forlini's Restaurant. Order ID 4117. Delivery by 2012-09-15 10:33. Enjoy 22% discount on your next purchase. Code OA586C. T&C."
15,ham,I will indeed! What time?
16,info,"Dear Guest, Thanks for choosing 2nd Avenue Deli. Order ID 4846. Delivery by 2013-02-21 17:15. Enjoy 5% discount on your next purchase. Code TRBDGV. T&C."
17,info,Aryan Auto Agency : Service of your car KA87A3626 is due in 38 days on 2011-02-01. Please contact us at 9161248828 to book a service.
18,info,Welcome to China Shipbuilding Industry R.No. 475 Ch.In 2014-11-11 13:31 Ch.out 2014-11-27 12:00.
19,ham,i will meet you on coming morning
20,info,"* KSRTC m-Ticket *  from: SRINGERI to: Pune PsngrName: Gabriel TripCode: 645SRIPun PNR No.: J26646664 JnyDate: 2015-08-17 DepTime: 6:45  SeatNo.: 32, 10, 49, 53, 54, 58  Class: AC chair  BoardingPt: SRINGERI Residency Road Txn Password: 3123 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
21,info,"PNR:3753775534,TRAIN:23181,DOJ:2013-01-02,AC3,AAY-BGM,Dep:7:32, Josue,B6 70 , Fare:7027,SC:10.0+PG+INS"
22,ham,i will meet john adams in bangalore
23,ham,I have to catchup for dinner @ nite at his place
24,ham,lets meet 29th after diwali
25,info,"Repair ref.no for your car is JC53251731 opened on 2011-02-07 2:30hrs,ETD of your car is 2011-02-08 23:34hrs and est.repair amt is Rs.569 Rgds, True Value"
26,spam,Ur transaction on HDFC Bank CREDIT Card ending 7967 for Rs. 50.00 has been credited/reversed by GOOGLE *SERVICES on 2015-11-09:19:39:04
27,info,"[Cranks] Hi Joseph, your reservation is confirmed for 14 people on 2012-01-20 at 11:32. We can hold your table for a maximum of 38 mins."
28,info,Aryan Auto Agency : Service of your car KA17O3152 is due in 56 days on 2009-10-20. Please contact us at 9883247244 to book a service.
29,spam,"Roaming Info: Opt for International Roaming packs & enjoy unlimited free incoming calls, lots of data and free calls to India. Packs start at Rs.649. To activate, call 9380809983 (International Tollfree) or click www.airtel.in/ir (data charges apply). Now roam freely without fear of bill shocks."
30,ham,meeting is @ sharp 4am
31,spam,Delivered: Your package withZoook ZB-Rocker-2 Wireless Blue...was successfully delivered. More info at http://amazon.com/cBfWh1e
32,info,"* KSRTC m-Ticket *  from: KOLAR to: MANTRALAYA PsngrName: Steven TripCode: 2230KOLMAN PNR No.: J79219391 JnyDate: 2013-07-04 DepTime: 22:30  SeatNo.: 34, 35, 9, 48, 18, 20  Class: Non-AC chair  BoardingPt: KOLAR Rly Station Txn Password: 4434 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
33,spam,"Dear Air India Customer, flight 1Y287 from MAA shall be boarding from gate 25A. Boarding gate closes29 mins prior to the departure time."
34,info,Thank you for using your HDFC bank Debitcard ending 1464 for Rs. 1260.00 in Mysuru at Snapdeal on 2011-06-26 5:46
35,ham,drop off mary to john's home
36,spam,"Dear JET Airways Customer, flight 8U768 from ISK shall be boarding from gate 14G. Boarding gate closes5 mins prior to the departure time."
37,ham,wish nishu happy birthday
38,spam,"Dear INDIGO Customer, flight 2E831 from ATQ shall be boarding from gate 12P. Boarding gate closes3 mins prior to the departure time."
39,spam,"Greetings, Snapdeal wishes you a Happy Onam."
40,info,"Dear Guest, Thanks for choosing Ann 's Diner. Order ID 2886. Delivery by 2011-02-05 12:39. Enjoy 9% discount on your next purchase. Code MLT2EV. T&C."
41,ham,hey lets hv lunch together.
42,spam,"Dear Customer, You have made a Debit Card purchase of INR35.00 on 15 Mar. Info.IPS*GREEN NEST . Your Net Available Balance is INR 38,449.46."
43,spam,"Dear customer, We wish you a Merry Christmas. Thanks for being a Maha Veer Auto Agency customer."
44,info,"[Keens Steakhouse] Hi Drake, your reservation is confirmed for 20 people on 2015-02-16 at 20:14. We can hold your table for a maximum of 43 mins."
45,info,"* KSRTC m-Ticket *  from: CHITRADURGA to: COONUR PsngrName: Brandon TripCode: 827CHICOO PNR No.: J91278491 JnyDate: 2011-12-11 DepTime: 8:27  SeatNo.: 48, 32, 50, 54, 57  Class: Non-AC chair  BoardingPt: CHITRADURGA Rly Station Txn Password: 8477 . Please carry your photo ID during journey. T&C apply. Visit  www.ksrtc.in"
46,spam,"Greetings, Aryan Auto Agency wishes you a Happy Onam."
47,info,"Thank you for choosing Meru for 2014-07-20 at 3:29. Cab:KA43N2224 , Chauffer: Kevin, Cell: 9652427344 will reach you. T&C apply, visit www.Meru.com"
48,ham,pay mortgage tomorrow
49,info,Bill dated 2011-04-19 for Rs 978 has been generated for your Jio fixedline/broadband relationship no. 41367851. The same will reach you by 2011-04-22. Due date: 2011-05-04.
50,info,Appointment with Dr Levi in SRIHARIKOTA on 2012-07-10 at 7:35 is confirmed. For queries call 1800 8236 7345. Your appt. might get delayed in case the doctor is attending an emergency.
51,spam,"Dear Customer, You have made a Debit Card purchase of INR147.00 on 15 Apr. Info.IPS*HYPERCITY R. Your Net Available Balance is INR 43,993.58."
52,info,Aryan Auto Agency : Service of your car KA16L3362 is due in 65 days on 2012-02-06. Please contact us at 9125288666 to book a service.
53,spam,Delivered: Your package with4M IA260166375 Auto Specialty Tyre Dresser (250 ml)was successfully delivered. More info at http://shopclues.com/cBfWh1e
54,ham,meeting is from 11am to 12 noon tomorrow
